cell_model_index,source.ip,destination.ip,source.port,destination.port,network.protocol,network.transport,Argus.transaction.state,count_z_score_mean,count_z_score_standard_deviation,count_z_score_constant_score
0,?,*,*,*,*,*,*,4227.777777777777,5562.900128485696,
1,*,?,*,*,*,*,*,2500.3333333333335,5086.472964857105,
2,*,*,?,*,*,*,*,27529.055555555555,1622.2357162680776,
3,*,*,*,?,*,*,*,11235.277777777777,923.6258144193072,
4,*,*,*,*,?,*,*,0.2777777777777778,0.558326423395605,
5,*,*,*,*,*,?,*,1.5,1.2583057392117916,
6,*,*,*,*,*,*,?,14.38888888888889,21.535858698378927,
7,?,?,*,*,*,*,*,6612.166666666667,5728.196160223565,
8,?,*,?,*,*,*,*,34064.27777777778,6291.815078210347,
9,?,*,*,?,*,*,*,17.666666666666668,21.129231988987303,
10,?,*,*,*,?,*,*,0.16666666666666666,0.37267799624996495,
11,?,*,*,*,*,?,*,0.1111111111111111,0.3142696805273545,
12,?,*,*,*,*,*,?,0.1111111111111111,0.3142696805273545,
13,*,?,?,*,*,*,*,34072.166666666664,6294.089081122947,
14,*,?,*,?,*,*,*,391.05555555555554,264.67243323319536,
15,*,?,*,*,?,*,*,,,10.0
16,*,?,*,*,*,?,*,1.5,1.2583057392117916,
17,*,?,*,*,*,*,?,0.6666666666666666,0.5773502691896257,
18,*,*,?,?,*,*,*,22379.88888888889,1418.6671322402467,
19,*,*,?,*,?,*,*,5214.666666666667,383.66478424096556,
20,*,*,?,*,*,?,*,0.16666666666666666,0.37267799624996495,
21,*,*,?,*,*,*,?,14.055555555555555,21.72165387150758,
22,*,*,*,?,?,*,*,0.2777777777777778,0.558326423395605,
23,*,*,*,?,*,?,*,0.16666666666666666,0.37267799624996495,
24,*,*,*,?,*,*,?,0.6666666666666666,0.5773502691896257,
25,*,*,*,*,?,?,*,,,10.0
26,*,*,*,*,?,*,?,,,10.0
27,*,*,*,*,*,?,?,,,10.0
28,?,?,?,*,*,*,*,34074.38888888889,6294.124924958803,
29,?,?,*,?,*,*,*,7492.555555555556,5759.39336333092,
30,?,?,*,*,?,*,*,6698.166666666667,5738.105293658448,
31,?,?,*,*,*,?,*,6961.666666666667,5701.874428641865,
32,?,?,*,*,*,*,?,7067.555555555556,5765.856062702439,
33,?,*,?,?,*,*,*,34072.555555555555,6294.660040438353,
34,?,*,?,*,?,*,*,34069.72222222222,6293.817431994985,
35,?,*,?,*,*,?,*,34072.38888888889,6293.480481497313,
36,?,*,?,*,*,*,?,34071.22222222222,6293.881089823632,
37,?,*,*,?,?,*,*,15.666666666666666,21.1843757939142,
38,?,*,*,?,*,?,*,20.833333333333332,21.60568340866717,
39,?,*,*,?,*,*,?,194.61111111111111,187.02974774941518,
40,?,*,*,*,?,?,*,0.16666666666666666,0.37267799624996495,
41,?,*,*,*,?,*,?,2.0555555555555554,3.7634532343199885,
42,?,*,*,*,*,?,?,12.38888888888889,20.064171741049293,
43,*,?,?,?,*,*,*,34073.0,6294.771181085316,
44,*,?,?,*,?,*,*,34070.22222222222,6293.979668042183,
45,*,?,?,*,*,?,*,34071.944444444445,6293.799395456365,
46,*,?,?,*,*,*,?,34071.11111111111,6294.093967883162,
47,*,?,*,?,?,*,*,400.6111111111111,255.9965578954549,
48,*,?,*,?,*,?,*,423.27777777777777,254.14995694920736,
49,*,?,*,?,*,*,?,454.22222222222223,234.48798963689083,
50,*,?,*,*,?,?,*,1.2777777777777777,1.4065543223524626,
51,*,?,*,*,?,*,?,2.611111111111111,3.846194206815773,
52,*,?,*,*,*,?,?,16.38888888888889,18.85659003251439,
53,*,*,?,?,?,*,*,8010.722222222223,874.6225729203016,
54,*,*,?,?,*,?,*,8011.555555555556,874.2513128527124,
55,*,*,?,?,*,*,?,10004.888888888889,1042.935754327332,
56,*,*,?,*,?,?,*,7112.333333333333,817.5643365781341,
